LineTotal,ProductID,ProductName,SubcategoryName,CategoryName,OrderDate
209059.82,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-06-30
196229.22,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-07-31
187679.45,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2011-10-01
185019.65,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2011-10-01
183156.18,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-06-30
180472.28,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-09-30
178839.47,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2011-10-01
178271.54,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-09-30
169485.21,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-06-30
169319.50,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2012-03-30
168911.26,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2014-05-01
168435.87,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-09-30
162365.42,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-07-31
162288.57,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-06-30
161570.73,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-06-30
159119.53,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2012-03-30
158016.62,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-07-31
157949.53,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2012-03-30
156776.39,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2011-10-01
156426.52,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2014-03-31
156343.50,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-10-30
155924.54,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2011-10-01
155014.14,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2014-05-01
153899.54,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2011-07-01
152580.48,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-07-31
151469.34,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-10-30
149993.99,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-03-30
149849.56,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2012-03-30
149753.61,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2014-01-29
149584.17,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-06-30
148256.35,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-10-30
147535.07,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-12-31
146544.77,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2012-03-30
145869.77,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2011-10-01
145799.57,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2012-01-01
145799.57,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2012-03-30
145799.57,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2012-01-01
144839.57,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2011-07-01
144839.57,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2012-03-30
143207.38,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-09-30
141439.58,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2011-10-01
141182.17,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2014-03-31
141110.05,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-06-30
